name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
uc001aar.2	chr1	+	321145	321207	321145	321145	1	321145,	321207,		uc001aar.2
uc009vjk.2	chr1	+	322036	326938	324342	325605	3	322036,324287,324438,	322228,324345,326938,	C9J4L2	uc009vjk.2
uc001aau.3	chr1	+	323891	328581	324342	325605	3	323891,324287,324438,	324060,324345,328581,	C9J4L2	uc001aau.3
uc021oeh.1	chr1	+	324287	325896	324514	325605	4	324287,324438,324718,325382,	324345,324686,325124,325896,	F5H0Y1	uc021oeh.1
uc021oei.1	chr1	+	327545	328439	327745	328213	1	327545,	328439,		uc021oei.1
uc010nxu.2	chr1	+	367658	368597	367658	368597	1	367658,	368597,	Q6IEY1	uc010nxu.2
uc001aax.1	chr1	+	420205	421839	420205	420205	3	420205,420991,421395,	420296,421258,421839,		uc001aax.1
uc021oej.1	chr1	-	566092	566115	566092	566092	1	566092,	566115,		uc021oej.1
uc021oek.1	chr1	-	566134	566155	566134	566134	1	566134,	566155,		uc021oek.1
uc021oel.1	chr1	-	566239	566263	566239	566239	1	566239,	566263,		uc021oel.1
uc001abb.3	chr1	+	568843	568913	568843	568843	1	568843,	568913,		uc001abb.3
uc010nxv.2	chr1	-	621095	622034	621095	622034	1	621095,	622034,	Q6IEY1	uc010nxv.2
uc001abe.4	chr1	-	661138	665731	664484	665108	3	661138,665277,665562,	665184,665335,665731,	B4DGA0	uc001abe.4
uc009vjm.3	chr1	-	661138	670994	664484	665108	3	661138,668686,670802,	665184,668744,670994,	B4DGA0	uc009vjm.3
uc002khh.3	chr1	-	661138	679736	661138	661138	7	661138,665277,667396,675182,675508,678665,679574,	665184,665335,667587,675415,675566,678730,679736,		uc002khh.3
uc001abi.2	chr1	-	668417	668479	668417	668417	1	668417,	668479,		uc001abi.2
uc001abj.3	chr1	-	668509	668541	668509	668509	1	668509,	668541,		uc001abj.3
uc010nxw.2	chr1	-	671823	671885	671823	671823	1	671823,	671885,		uc010nxw.2
uc001abl.3	chr1	-	671915	671947	671915	671915	1	671915,	671947,		uc001abl.3
uc001abm.2	chr1	-	674239	679736	674239	674239	5	674239,675182,675508,678665,679574,	674404,675415,675566,678730,679736,		uc001abm.2
uc001abo.3	chr1	-	700244	714068	700244	700244	7	700244,701708,703927,704876,708355,709550,713663,	700627,701767,703993,705092,708487,709660,714068,		uc001abo.3
uc010nxx.2	chr1	-	761585	762902	762079	762571	1	761585,	762902,	A2ACH2	uc010nxx.2
uc031pjj.1	chr1	+	762970	778984	762970	762970	3	762970,764382,776579,	763155,764484,778984,		uc031pjj.1
uc001abp.2	chr1	+	762970	794826	762970	762970	6	762970,764382,783033,787306,788050,788770,	763155,764484,783186,787490,788146,794826,		uc001abp.2
uc021oem.2	chr1	+	762970	794826	762970	762970	5	762970,764382,787306,788050,788770,	763155,764484,787490,788146,794826,		uc021oem.2
uc009vjn.2	chr1	+	762970	794826	762970	762970	4	762970,764382,787306,788770,	763155,764484,787490,794826,		uc009vjn.2
uc009vjo.2	chr1	+	762970	794826	762970	762970	4	762970,764382,788050,788770,	763155,764484,788146,794826,		uc009vjo.2
uc031pjk.1	chr1	+	763177	794826	763177	763177	5	763177,764382,787306,788050,788770,	763229,764484,787490,788146,794826,		uc031pjk.1
uc001abt.4	chr1	-	803450	812182	803450	803450	3	803450,809491,812125,	804055,810535,812182,		uc001abt.4
uc001abu.1	chr1	+	846814	850328	846814	846814	2	846814,847324,	846853,850328,		uc001abu.1
uc010nxy.1	chr1	-	852952	854817	852952	852952	4	852952,853401,854204,854714,	853100,853555,854295,854817,		uc010nxy.1
uc010nxz.1	chr1	-	852952	854817	852952	852952	4	852952,853401,854204,854714,	853100,853495,854295,854817,		uc010nxz.1
uc001abv.1	chr1	+	860529	871276	861321	871275	5	860529,861301,865534,866418,871151,	860569,861393,865716,866469,871276,	I7FV97	uc001abv.1
uc001abw.1	chr1	+	861120	879961	861321	879533	14	861120,861301,865534,866418,871151,874419,874654,876523,877515,877789,877938,878632,879077,879287,	861180,861393,865716,866469,871276,874509,874840,876686,877631,877868,878438,878757,879188,879961,	NP_689699	uc001abw.1
uc031pjl.1	chr1	+	861301	879533	861321	879533	12	861301,865534,866418,871151,874419,874651,876523,877515,877789,877938,878632,879077,	861393,865716,866469,871276,874509,874792,876686,877631,877868,878438,878757,879533,	I7FV78	uc031pjl.1
uc031pjm.1	chr1	+	861301	879533	861321	879533	13	861301,865534,866418,871151,874419,874651,876523,877515,877789,877938,878632,879077,879272,	861393,865716,866469,871276,874509,874840,876686,877631,877868,878438,878757,879188,879533,	I7FC27	uc031pjm.1
uc031pjn.1	chr1	+	861301	879533	874689	879532	5	861301,865534,874419,874651,879077,	861393,865716,874509,874792,879533,		uc031pjn.1
uc031pjo.1	chr1	+	861301	879961	861301	861301	13	861301,865534,866418,871151,874419,874651,876523,877515,877815,877938,878632,879077,879287,	861393,865716,866469,871276,874509,874792,876686,877631,877868,878438,878757,879188,879961,		uc031pjo.1
uc031pjp.1	chr1	+	861301	879961	861321	879533	11	861301,865534,866418,871151,874419,874654,877789,877938,878632,879077,879287,	861393,865716,866469,871276,874509,874792,877868,878438,878757,879188,879961,	Q96NU1	uc031pjp.1
uc031pjq.1	chr1	+	861301	879961	874689	879533	12	861301,865534,866418,874419,874654,876523,877515,877789,877938,878632,879077,879287,	861393,865716,866469,874509,874792,876686,877631,877868,878438,878757,879188,879961,	H7BY14	uc031pjq.1
uc031pjr.1	chr1	+	861301	879961	877821	879533	11	861301,865534,866418,874419,874654,877515,877789,877938,878632,879077,879287,	861393,865716,866469,874509,874792,877631,877868,878438,878757,879188,879961,	Q96NU1	uc031pjr.1
uc031pjs.1	chr1	+	861301	879961	861321	879706	12	861301,865534,866418,871151,874419,874654,876523,877515,877789,877938,879077,879287,	861393,865716,866469,871276,874509,874792,876686,877631,877868,878438,879188,879961,	I7F465	uc031pjs.1
uc031pjt.1	chr1	+	861301	879961	861321	879533	12	861301,865534,866418,871151,874419,876523,877515,877789,877938,878632,879077,879287,	861393,865716,866469,871276,874509,876686,877631,877868,878438,878757,879188,879961,	Q96NU1	uc031pjt.1
uc031pju.1	chr1	+	861301	879961	861321	879533	13	861301,865534,866418,871151,874419,874651,876523,877515,877789,877938,878632,879077,879287,	861393,865716,866469,871276,874509,874840,876686,877631,877868,878438,878757,879188,879961,	I7G276	uc031pju.1
uc031pjv.1	chr1	+	861301	879961	874689	879533	14	861301,865534,866418,871151,872229,874419,874654,876523,877515,877789,877938,878632,879077,879287,	861393,865716,866469,871276,872314,874509,874840,876686,877631,877868,878438,878757,879188,879961,	Q96NU1	uc031pjv.1
uc031pjw.1	chr1	+	861301	879961	861301	861301	12	861301,865534,866418,871151,874419,874651,877515,877789,877938,878632,879077,879287,	861393,865716,866469,871276,874509,874792,877631,877868,878438,878757,879188,879961,		uc031pjw.1
uc031pjx.1	chr1	+	861301	879961	861321	879533	13	861301,865534,866418,871151,874419,874651,876523,877515,877789,877938,878632,879077,879287,	861393,865716,866469,871276,874509,874792,876686,877631,877868,878438,878757,879188,879961,	I7G0Z6	uc031pjx.1
uc031pjy.1	chr1	+	861301	879961	874689	879533	13	861301,865534,871151,872229,874419,874651,876523,877515,877789,877938,878632,879077,879287,	861393,865716,871276,872314,874509,874792,876686,877631,877868,878438,878757,879188,879961,	H7BY14	uc031pjy.1
uc031pjz.1	chr1	+	861301	879961	861301	861301	10	861301,871151,874419,874651,877515,877789,877938,878632,879077,879287,	861393,871276,874509,874840,877631,877868,878438,878757,879188,879961,		uc031pjz.1
uc031pka.1	chr1	+	861301	879961	874689	879533	10	861301,865534,866418,874419,874654,877789,877938,878632,879077,879287,	861393,865716,866469,874509,874792,877868,878438,878757,879188,879961,	I7FC29	uc031pka.1
uc031pkb.1	chr1	+	861301	879961	871209	879533	9	861301,871151,874419,874654,877789,877938,878632,879077,879287,	861393,871276,874509,874792,877868,878438,878757,879188,879961,	Q96NU1	uc031pkb.1
uc031pkc.1	chr1	+	861301	879961	861321	879533	13	861301,865534,866418,871184,874419,874651,876523,877515,877789,877938,878632,879077,879287,	861393,865716,866469,871276,874509,874792,876686,877631,877868,878438,878757,879188,879961,	I7F467	uc031pkc.1
uc031pkd.1	chr1	+	861301	879961	861301	861301	13	861301,865534,866418,871151,874419,874654,876523,877515,877789,877938,878632,879077,879287,	861393,865716,866469,871276,874509,874840,876610,877631,877868,878438,878757,879188,879961,		uc031pkd.1
uc031pke.1	chr1	+	861301	879961	874689	879533	12	861301,865534,866418,874419,874651,876523,877515,877789,877938,878632,879077,879287,	861393,865716,866469,874509,874840,876686,877631,877868,878438,878757,879188,879961,	Q96NU1	uc031pke.1
uc031pkf.1	chr1	+	861301	879961	861301	861301	13	861301,865534,866418,871151,874419,874651,876523,877552,877789,877938,878632,879077,879287,	861393,865716,866469,871276,874509,874792,876686,877631,877868,878438,878757,879188,879961,		uc031pkf.1
uc031pkg.1	chr1	+	861301	879961	861321	879533	11	861301,865534,866418,871151,874419,874651,877789,877938,878632,879077,879287,	861393,865716,866469,871276,874509,874792,877868,878438,878757,879188,879961,	I7F472	uc031pkg.1
uc031pkh.1	chr1	+	861301	879961	861321	879533	10	861301,865534,871151,874419,874651,877789,877938,878632,879077,879287,	861393,865716,871276,874509,874792,877868,878438,878757,879188,879961,	I7FC29	uc031pkh.1
uc031pki.1	chr1	+	861301	879961	861321	879706	8	861301,865534,866418,871151,874419,874654,879077,879287,	861393,865716,866469,871276,874509,874792,879188,879961,	I7G283	uc031pki.1
uc031pkj.1	chr1	+	861301	879961	861321	879706	8	861301,865534,866418,871151,874419,874651,879077,879287,	861393,865716,866469,871276,874509,874792,879188,879961,	I7G101	uc031pkj.1
uc031pkk.1	chr1	+	861301	879961	861301	861301	12	861301,865534,866418,871151,874419,874654,877515,877789,877938,878632,879077,879287,	861393,865716,866469,871276,874509,874840,877631,877868,878438,878757,879188,879961,		uc031pkk.1
uc031pkl.1	chr1	+	861301	879961	861301	861301	12	861301,865534,866418,871151,874419,874654,877515,877789,877938,878632,879077,879287,	861393,865716,866469,871276,874509,874792,877631,877868,878438,878757,879188,879961,		uc031pkl.1
uc001abx.2	chr1	+	861301	879961	861321	879533	13	861301,865534,866418,871151,874419,874654,876523,877515,877789,877938,878632,879077,879287,	861393,865716,866469,871276,874509,874792,876686,877631,877868,878438,878757,879188,879961,	Q96NU1-1	uc001abx.2
uc031pkm.1	chr1	+	861301	879961	861321	879533	12	861301,865534,866418,871151,874419,874654,876523,877789,877938,878632,879077,879287,	861393,865716,866469,871276,874509,874792,876610,877868,878438,878757,879188,879961,	I7FC33	uc031pkm.1
uc031pkn.1	chr1	+	861301	879961	861301	861301	13	861301,865534,866418,871151,872229,874419,874651,877515,877789,877938,878632,879077,879287,	861393,865716,866469,871276,872314,874509,874792,877631,877868,878438,878757,879188,879961,		uc031pkn.1
uc031pko.1	chr1	+	874654	879533	874689	879533	7	874654,876523,877515,877789,877938,878632,879077,	874840,876686,877631,877868,878438,878757,879533,	H7C3J6	uc031pko.1
uc031pkp.1	chr1	+	876523	879961	877821	879533	6	876523,877789,877938,878632,879077,879287,	876686,877868,878438,878757,879188,879961,	Q96NU1	uc031pkp.1
uc031pkq.1	chr1	-	879582	882440	880073	881970	5	879582,880421,880897,881552,881781,	880180,880526,881033,881666,882440,	Q8NAK7	uc031pkq.1
uc001aby.4	chr1	-	879582	893918	880073	889551	17	879582,880421,880897,881552,881781,883510,883869,886506,887379,887791,888554,889161,889383,891302,891474,892273,892478,	880180,880526,881033,881666,881925,883612,883983,886618,887519,887980,888668,889272,889903,891393,891595,892405,893918,	Q9H9J5	uc001aby.4
uc001abz.4	chr1	-	879582	894679	880073	894620	19	879582,880436,880897,881552,881781,883510,883869,886506,887379,887791,888554,889161,889383,891302,891474,892273,892478,894308,894594,	880180,880526,881033,881666,881925,883612,883983,886618,887519,887980,888668,889272,889462,891393,891595,892405,892653,894461,894679,	NP_056473	uc001abz.4
uc009vjq.3	chr1	-	879582	894679	880073	894620	19	879582,880421,880897,881552,881781,883510,883869,886506,887379,887791,888554,889161,889383,891302,891474,892273,892478,894308,894594,	880180,880526,881033,881666,881925,883612,883983,886618,887519,887980,888668,889272,889462,891393,891595,892405,892653,894461,894679,	Q9Y3T9	uc009vjq.3
uc009vjr.2	chr1	-	893648	894679	894010	894620	2	893648,894594,	894461,894679,		uc009vjr.2
uc001aca.2	chr1	+	895966	901099	896073	900571	12	895966,896672,897008,897205,897734,898083,898488,898716,899299,899486,899728,900342,	896180,896932,897130,897427,897851,898297,898633,898884,899388,899560,899910,901099,	Q6TDP4	uc001aca.2
uc001acb.1	chr1	+	896828	897858	897013	897652	2	896828,897205,	897130,897858,	Q86XA8	uc001acb.1
uc010nya.1	chr1	+	897008	897858	897013	897652	2	897008,897205,	897130,897858,	Q86XA8	uc010nya.1
uc001acc.2	chr1	+	897460	901099	897460	897460	8	897460,898083,898488,898716,899299,899486,899728,900342,	897851,898297,898633,898884,899388,899547,899910,901099,		uc001acc.2
uc010nyb.1	chr1	+	897734	899229	898086	898692	3	897734,898083,898411,	897851,898297,899229,	B4DDM9	uc010nyb.1
uc001acd.3	chr1	+	901876	910484	901911	909955	16	901876,902083,905656,905900,906065,906258,906492,906703,907454,907667,908240,908565,908879,909212,909695,909821,	901994,902183,905803,905981,906138,906386,906588,906784,907530,907804,908390,908706,909020,909431,909744,910484,	Q494U1-2	uc001acd.3
uc001acf.3	chr1	+	901876	910484	901911	909955	15	901876,902083,905656,905900,906065,906258,906456,906703,907454,907667,908240,908879,909212,909695,909821,	901994,902183,905803,905981,906138,906386,906588,906784,907530,907804,908390,909020,909431,909744,910484,	Q494U1-3	uc001acf.3
uc001ace.3	chr1	+	901876	910484	901911	909955	15	901876,902083,905656,905900,906065,906456,906703,907454,907667,908240,908565,908879,909212,909695,909821,	901994,902183,905803,905981,906386,906588,906784,907530,907804,908390,908706,909020,909431,909744,910484,	Q494U1	uc001ace.3
uc001acg.2	chr1	-	910578	912021	910578	910578	2	910578,911878,	911649,912021,		uc001acg.2
uc001ach.2	chr1	-	910578	917473	911551	916546	5	910578,911878,914260,916516,917444,	911649,912004,916037,916553,917473,	Q5SV97	uc001ach.2
uc001aci.2	chr1	-	934341	935552	934438	935353	4	934341,934905,935071,935245,	934812,934993,935167,935552,	Q9HCC6	uc001aci.2
uc010nyc.1	chr1	-	934341	935552	934438	935353	3	934341,934905,935071,	934812,934993,935552,	E9PB28	uc010nyc.1
uc001acj.4	chr1	+	948846	949919	948953	949858	2	948846,949363,	948956,949919,	P05161	uc001acj.4
uc001ack.2	chr1	+	955502	991499	955552	990361	36	955502,957580,970656,976044,976552,976857,977335,978618,978917,979202,979488,979713,980540,980738,981112,981343,981539,981776,982199,982706,982952,983155,983391,984246,984615,984945,985282,985612,985806,986105,986632,986832,987107,989132,989827,990203,	955753,957842,970704,976260,976777,977082,977542,978837,979112,979403,979637,979819,980657,980903,981256,981468,981645,982115,982337,982834,983067,983275,983745,984439,984831,985175,985417,985709,985971,986217,986749,987025,987195,989357,989931,991499,	O00468	uc001ack.2
uc009vjs.1	chr1	+	995082	997436	995082	995082	5	995082,995656,995918,996399,997228,	995162,995773,996088,996497,997436,		uc009vjs.1
uc001acl.1	chr1	+	995116	1001833	995116	995116	4	995116,995659,998458,1001209,	995226,995773,998581,1001833,		uc001acl.1
uc021oen.1	chr1	-	1007125	1009687	1007196	1007946	2	1007125,1009395,	1007955,1009687,	E7ERA6	uc021oen.1
uc021oeo.1	chr1	-	1007196	1007946	1007196	1007946	1	1007196,	1007946,	E7ERA6	uc021oeo.1
uc010nyd.1	chr1	-	1017197	1026945	1017197	1017197	9	1017197,1019294,1019732,1019860,1021257,1022518,1022877,1025732,1026851,	1018367,1019466,1019763,1019886,1021392,1022584,1022977,1025808,1026945,		uc010nyd.1
uc001acn.2	chr1	-	1017197	1027554	1018272	1026923	8	1017197,1019294,1019860,1021257,1022518,1022881,1025732,1026851,	1018367,1019763,1019886,1021392,1022584,1022977,1025808,1027554,	Q5T2W9	uc001acn.2
uc001acu.2	chr1	-	1017197	1051736	1018272	1026923	10	1017197,1019732,1019860,1021257,1022518,1022881,1025732,1026851,1027370,1051439,	1018367,1019763,1019886,1021392,1022584,1022977,1025808,1026945,1027483,1051736,	Q96HA4-4	uc001acu.2
uc001act.2	chr1	-	1017197	1051736	1018272	1026923	12	1017197,1019294,1019860,1021257,1022518,1022881,1025732,1026255,1026851,1027370,1050401,1051439,	1018367,1019763,1019886,1021392,1022584,1022977,1025808,1026363,1026945,1027483,1050455,1051736,	Q96HA4	uc001act.2
uc001acr.2	chr1	-	1017197	1051736	1017197	1017197	12	1017197,1019294,1019732,1019860,1021257,1022518,1022881,1025732,1026657,1026851,1027370,1051439,	1018367,1019466,1019763,1019886,1021392,1022584,1022977,1025808,1026754,1026945,1027483,1051736,		uc001acr.2
uc001acs.2	chr1	-	1017197	1051736	1017197	1017197	11	1017197,1019294,1019732,1019860,1021257,1022518,1022881,1025732,1026851,1027370,1051439,	1018367,1019466,1019763,1019886,1021392,1022584,1022977,1025808,1026945,1027483,1051736,		uc001acs.2
uc001acv.3	chr1	+	1072396	1079434	1078122	1078536	3	1072396,1076204,1078118,	1072490,1076412,1079434,		uc001acv.3
uc001acw.2	chr1	+	1102483	1102578	1102483	1102483	1	1102483,	1102578,		uc001acw.2
uc010nye.1	chr1	+	1103242	1103332	1103242	1103242	1	1103242,	1103332,		uc010nye.1
uc031pkr.1	chr1	-	1103295	1103317	1103295	1103295	1	1103295,	1103317,		uc031pkr.1
uc010nyf.1	chr1	+	1104384	1104467	1104384	1104384	1	1104384,	1104467,		uc010nyf.1
uc031pks.1	chr1	-	1104434	1104456	1104434	1104434	1	1104434,	1104456,		uc031pks.1
uc001acx.1	chr1	-	1108435	1114935	1111009	1114838	2	1108435,1114744,	1111776,1114935,	Q6ZQQ1	uc001acx.1
uc001acy.2	chr1	+	1109285	1133313	1114595	1133227	16	1109285,1109664,1109803,1114568,1115036,1115413,1115862,1116110,1117120,1117740,1118255,1119299,1120348,1131979,1132472,1132817,	1109306,1109701,1109869,1114713,1115117,1115720,1115981,1116240,1117195,1117826,1118427,1119471,1120489,1132096,1132566,1133313,	Q6ZVT0	uc001acy.2
uc010nyg.1	chr1	+	1109285	1133313	1114595	1133227	16	1109285,1109645,1109803,1114568,1115036,1115413,1115862,1116110,1117120,1117740,1118255,1119299,1120348,1131979,1132472,1132817,	1109306,1109701,1109869,1114713,1115117,1115720,1115981,1116240,1117195,1117826,1118427,1119471,1120489,1132096,1132566,1133313,	Q6ZVT0	uc010nyg.1
uc001acz.2	chr1	+	1115076	1121243	1115433	1120522	9	1115076,1115413,1115862,1116110,1117120,1117740,1118255,1119299,1120348,	1115233,1115720,1115981,1116240,1117195,1117826,1118427,1119471,1121243,	Q6ZVT0-3	uc001acz.2
uc001ada.3	chr1	-	1138887	1141060	1139223	1140843	4	1138887,1139413,1139778,1140749,	1139348,1139616,1139866,1141060,	Q9Y5U5	uc001ada.3
uc001adb.3	chr1	-	1138887	1142089	1139223	1141951	5	1138887,1139434,1139778,1140749,1141764,	1139348,1139616,1139866,1140872,1142089,	B1AME3	uc001adb.3
uc001adc.3	chr1	-	1138887	1142089	1139223	1141951	5	1138887,1139413,1139778,1140749,1141764,	1139348,1139616,1139866,1140872,1142089,	Q9Y5U5	uc001adc.3
uc001add.3	chr1	-	1138887	1142089	1138970	1141951	4	1138887,1139778,1140749,1141764,	1139340,1139866,1140872,1142089,	Q9Y5U5-2	uc001add.3
uc001ade.3	chr1	-	1146705	1149548	1146934	1149507	7	1146705,1147083,1147321,1148017,1148371,1149042,1149362,	1147005,1147212,1147518,1148084,1148473,1149165,1149548,	P43489	uc001ade.3
uc001adf.3	chr1	-	1146719	1149548	1146934	1148753	5	1146719,1147321,1148017,1148371,1149362,	1147212,1147518,1148084,1149165,1149548,	P43489	uc001adf.3
uc001adg.3	chr1	-	1152287	1156731	1152287	1152287	3	1152287,1153837,1154148,	1153068,1154013,1156731,		uc001adg.3
uc001adh.4	chr1	-	1152287	1167447	1152891	1164173	7	1152287,1153837,1154148,1158623,1159211,1163847,1167271,	1153068,1154013,1154307,1158737,1159348,1164326,1167447,	Q9BRK5	uc001adh.4
uc001adi.4	chr1	-	1152287	1167447	1153049	1164173	7	1152287,1153837,1154148,1158623,1159211,1163847,1167271,	1153184,1154013,1154307,1158737,1159348,1164326,1167447,	Q9BRK5-6	uc001adi.4
uc009vjw.3	chr1	-	1152287	1167447	1152287	1152287	7	1152287,1153837,1154148,1158623,1159211,1163847,1167271,	1153184,1154013,1154323,1158737,1159348,1164326,1167447,		uc009vjw.3
uc001adj.1	chr1	-	1158103	1159348	1158549	1159308	2	1158103,1159211,	1158737,1159348,		uc001adj.1
uc001adk.3	chr1	+	1167628	1170420	1167658	1168648	1	1167628,	1170420,	Q96L58	uc001adk.3
uc001adl.2	chr1	-	1177825	1182102	1177927	1182070	8	1177825,1178214,1178441,1178823,1179333,1179570,1179760,1181893,	1178026,1178293,1178532,1178932,1179485,1179655,1179877,1182102,	Q5T7M4	uc001adl.2
uc001adm.4	chr1	-	1189291	1203372	1190582	1198741	7	1189291,1191424,1192371,1192587,1198725,1201477,1203241,	1190867,1191505,1192510,1192690,1198766,1201670,1203372,	NP_919440	uc001adm.4
uc001ado.3	chr1	-	1189291	1209234	1190582	1203372	8	1189291,1191424,1192371,1192587,1198725,1200162,1203241,1209045,	1190867,1191505,1192510,1192690,1198766,1200210,1203372,1209234,	A8MYC7	uc001ado.3
uc001adp.3	chr1	-	1189291	1209234	1190582	1203372	7	1189291,1191424,1192371,1192587,1198725,1203241,1209045,	1190867,1191505,1192510,1192690,1198766,1203372,1209234,	Q8N2K1	uc001adp.3
uc001adq.3	chr1	-	1189291	1209234	1190582	1198741	7	1189291,1191424,1192371,1192587,1198725,1203112,1209045,	1190867,1191505,1192510,1192690,1198766,1203372,1209234,	NP_919440	uc001adq.3
uc001adr.3	chr1	-	1189291	1209234	1190582	1198741	6	1189291,1191424,1192371,1192587,1198725,1209045,	1190867,1191505,1192510,1192690,1198766,1209234,	NP_919440	uc001adr.3
uc001adt.1	chr1	+	1215815	1227409	1216041	1226990	18	1215815,1216605,1216790,1217621,1219357,1220950,1221305,1222147,1222488,1222887,1223052,1223318,1225650,1225856,1226016,1226274,1226444,1226633,	1216046,1216677,1216990,1217695,1219470,1221044,1221658,1222355,1222679,1222976,1223216,1223417,1225768,1225935,1226074,1226333,1226520,1227409,	A6NNF7	uc001adt.1
uc001adu.1	chr1	+	1215815	1227409	1219404	1226990	17	1215815,1216605,1216790,1217621,1219357,1221305,1222147,1222488,1222887,1223052,1223318,1225650,1225856,1226016,1226274,1226444,1226633,	1216046,1216677,1216990,1217695,1219470,1221658,1222355,1222679,1222976,1223216,1223417,1225768,1225935,1226074,1226333,1226520,1227409,	P51172	uc001adu.1
uc001adw.2	chr1	+	1217488	1227409	1217638	1226990	15	1217488,1219357,1220950,1221305,1222147,1222488,1222887,1223052,1223318,1225650,1225856,1226016,1226274,1226444,1226633,	1217695,1219470,1221044,1221658,1222355,1222679,1222976,1223216,1223417,1225768,1225935,1226074,1226333,1226520,1227409,	P51172-2	uc001adw.2
