# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_DOWNSTREAM	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_SYNONYMOUS_CODING	variants_effect_UPSTREAM	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
CFBS_0056	CFBS_0056	YP_008004892.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0064	CFBS_0064	YP_008004900.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0065	CFBS_0065	YP_008004901.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0066	CFBS_0066	YP_008004902.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0068	CFBS_0068	YP_008004904.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0069	CFBS_0069	YP_008004905.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0070	CFBS_0070	YP_008004906.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0071	CFBS_0071	YP_008004907.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0094	CFBS_0094	YP_008004930.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0095	CFBS_0095	YP_008004931.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0096	CFBS_0096	YP_008004932.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0097	CFBS_0097	YP_008004933.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0099	CFBS_0099	YP_008004935.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0100	CFBS_0100	YP_008004936.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0101	CFBS_0101	YP_008004937.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0102	CFBS_0102	YP_008004938.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0144	CFBS_0144	YP_008004980.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0145	CFBS_0145	YP_008004981.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0146	CFBS_0146	YP_008004982.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0149	CFBS_0149	YP_008004985.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0150	CFBS_0150	YP_008004986.1		0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1023	0	0	0	0	0	0
CFBS_0151	CFBS_0151	YP_008004987.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0152	CFBS_0152	YP_008004988.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0153	CFBS_0153	YP_008004989.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0154	CFBS_0154	YP_008004990.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0155	CFBS_0155	YP_008004991.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0156	CFBS_0156	YP_008004992.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0158	CFBS_0158	YP_008004994.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0159	CFBS_0159	YP_008004995.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0160	CFBS_0160	YP_008004996.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0161	CFBS_0161	YP_008004997.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0162	CFBS_0162	YP_008004998.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0163	CFBS_0163	YP_008004999.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0164	CFBS_0164	YP_008005000.1		0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1578	0	0	0	0	0	0
CFBS_0165	CFBS_0165	YP_008005001.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0168	CFBS_0168	YP_008005004.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0172	CFBS_0172	YP_008005008.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0173	CFBS_0173	YP_008005009.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0174	CFBS_0174	YP_008005010.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0175	CFBS_0175	YP_008005011.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0176	CFBS_0176	YP_008005012.1		0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1350	0	0	0	0	0	0
CFBS_0177	CFBS_0177	YP_008005014.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0179	CFBS_0179	YP_008005015.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0180	CFBS_0180	YP_008005016.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0190	CFBS_0190	YP_008005026.1		0	0	0	2	1	0	0	0	0	1	1	0	5000	0	0	0	0	0	0	1	0	5000
CFBS_0191	CFBS_0191	YP_008005027.1		0	0	0	2	1	0	0	0	0	1	1	0	5000	0	0	0	0	0	0	1	0	5000
CFBS_0192	CFBS_0192	YP_008005028.1		0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	555	0	0	0	1	0	5000
CFBS_0193	CFBS_0193	YP_008005029.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0195	CFBS_0195	YP_008005031.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0196	CFBS_0196	YP_008005032.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0248	CFBS_0248	YP_008005084.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0251	CFBS_0251	YP_008005087.1		0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1449	0	0	0	0	0	0
CFBS_0252	CFBS_0252	YP_008005088.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0273	CFBS_0273	YP_008005109.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0274	CFBS_0274	YP_008005110.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0275	CFBS_0275	YP_008005111.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0276	CFBS_0276	YP_008005112.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0277	CFBS_0277	YP_008005113.1		0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1146	0	0	0	0	0	0
CFBS_0280	CFBS_0280	YP_008005116.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0281	CFBS_0281	YP_008005117.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0282	CFBS_0282	YP_008005118.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0285	CFBS_0285	YP_008005121.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0286	CFBS_0286	YP_008005122.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0289	CFBS_0289	YP_008005125.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0290	CFBS_0290	YP_008005126.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0347	CFBS_0347	YP_008005183.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0348	CFBS_0348	YP_008005184.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0349	CFBS_0349	YP_008005185.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0350	CFBS_0350	YP_008005186.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0351	CFBS_0351	YP_008005187.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0352	CFBS_0352	YP_008005188.1		0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1536	0	0	0	0	0	0
CFBS_0354	CFBS_0354	YP_008005190.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0355	CFBS_0355	YP_008005191.1		0	0	0	2	1	0	0	0	0	1	1	0	5000	0	0	0	0	0	0	1	0	5000
CFBS_0356	CFBS_0356	YP_008005192.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0361	CFBS_0361	YP_008005197.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0363	CFBS_0363	YP_008005199.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0389	CFBS_0389	YP_008005225.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0390	CFBS_0390	YP_008005226.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0391	CFBS_0391	YP_008005227.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0392	CFBS_0392	YP_008005228.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0393	CFBS_0393	YP_008005229.1		0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	966	0	0	0	0	0	0
CFBS_0394	CFBS_0394	YP_008005230.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0396	CFBS_0396	YP_008005232.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0397	CFBS_0397	YP_008005233.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0399	CFBS_0399	YP_008005235.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0416	CFBS_0416	YP_008005252.1		0	0	0	3	3	0	0	0	0	0	3	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0418	CFBS_0418	YP_008005254.1		0	0	0	3	1	0	0	0	0	2	1	0	5000	0	0	0	0	0	0	2	0	5000
CFBS_0419	CFBS_0419	YP_008005255.1		0	0	0	3	2	0	0	0	0	1	2	0	5000	0	0	0	0	0	0	1	0	5000
CFBS_0420	CFBS_0420	YP_008005256.1		0	0	1	2	0	1	0	0	0	2	0	0	0	1	0	1758	0	0	0	2	0	5000
CFBS_0422	CFBS_0422	YP_008005258.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0424	CFBS_0424	YP_008005260.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0443	CFBS_0443	YP_008005279.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0445	CFBS_0445	YP_008005281.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0447	CFBS_0447	YP_008005283.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0448	CFBS_0448	YP_008005284.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0450	CFBS_0450	YP_008005286.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0451	CFBS_0451	YP_008005287.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0452	CFBS_0452	YP_008005288.1		0	0	0	2	1	0	0	0	0	1	1	0	5000	0	0	0	0	0	0	1	0	5000
CFBS_0456	CFBS_0456	YP_008005292.1		0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	936	0	0	0	1	0	5000
CFBS_0458	CFBS_0458	YP_008005294.1		0	0	1	1	1	1	0	0	0	0	1	0	5000	1	0	429	0	0	0	0	0	0
CFBS_0459	CFBS_0459	YP_008005295.1		0	0	0	2	2	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0460	CFBS_0460	YP_008005296.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0461	CFBS_0461	YP_008005297.1		0	0	0	2	2	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0463	CFBS_0463	YP_008005299.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0491	CFBS_0491	YP_008005327.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0492	CFBS_0492	YP_008005328.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0493	CFBS_0493	YP_008005329.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0494	CFBS_0494	YP_008005330.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0496	CFBS_0496	YP_008005332.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0497	CFBS_0497	YP_008005333.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0499	CFBS_0499	YP_008005335.1		0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1047	0	0	0	0	0	0
CFBS_0500	CFBS_0500	YP_008005336.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0501	CFBS_0501	YP_008005337.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0504	CFBS_0504	YP_008005340.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0528	CFBS_0528	YP_008005364.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0530	CFBS_0530	YP_008005366.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0532	CFBS_0532	YP_008005368.1		0	0	0	2	1	0	0	0	0	1	1	0	5000	0	0	0	0	0	0	1	0	5000
CFBS_0535	CFBS_0535	YP_008005371.1		0	0	0	2	1	0	0	0	0	1	1	0	5000	0	0	0	0	0	0	1	0	5000
CFBS_0536	CFBS_0536	YP_008005372.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0537	CFBS_0537	YP_008005373.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0538	CFBS_0538	YP_008005374.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0539	CFBS_0539	YP_008005375.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0540	CFBS_0540	YP_008005376.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0541	CFBS_0541	YP_008005377.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0565	CFBS_0565	YP_008005401.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0567	CFBS_0567	YP_008005403.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0568	CFBS_0568	YP_008005404.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0569	CFBS_0569	YP_008005405.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0570	CFBS_0570	YP_008005406.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0571	CFBS_0571	YP_008005407.1		0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	885	0	0	0	0	0	0
CFBS_0573	CFBS_0573	YP_008005409.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0574	CFBS_0574	YP_008005410.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0576	CFBS_0576	YP_008005412.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0589	CFBS_0589	YP_008005425.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0590	CFBS_0590	YP_008005426.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0591	CFBS_0591	YP_008005427.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0593	CFBS_0593	YP_008005429.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0594	CFBS_0594	YP_008005430.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0595	CFBS_0595	YP_008005431.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0596	CFBS_0596	YP_008005432.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0597	CFBS_0597	YP_008005433.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0598	CFBS_0598	YP_008005434.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0599	CFBS_0599	YP_008005435.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0602	CFBS_0602	YP_008005438.1		0	0	0	3	3	0	0	0	0	0	3	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0603	CFBS_0603	YP_008005439.1		0	0	0	3	3	0	0	0	0	0	3	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0604	CFBS_0604	YP_008005440.1		0	2	1	0	0	1	0	0	2	0	0	0	0	3	0	3915	0	0	0	0	0	0
CFBS_0605	CFBS_0605	YP_008005441.1		0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	5000
CFBS_0606	CFBS_0606	YP_008005442.1		0	0	0	3	3	0	0	0	0	0	3	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0607	CFBS_0607	YP_008005443.1		0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	5000
CFBS_0608	CFBS_0608	YP_008005444.1		0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	5000
CFBS_0610	CFBS_0610	YP_008005446.1		0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	5000
CFBS_0663	CFBS_0663	YP_008005499.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0664	CFBS_0664	YP_008005500.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0665	CFBS_0665	YP_008005501.1		0	1	1	0	0	1	0	0	1	0	0	0	0	2	0	252	0	0	0	0	0	0
CFBS_0667	CFBS_0667	YP_008005503.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0669	CFBS_0669	YP_008005505.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
