Genome                                                                      | ID          
Bat SARS-like coronavirus YNLF_31C, complete genome.                        | KP886808.1  
Bat SARS-like coronavirus YNLF_34C, complete genome.                        | KP886809.1  
SARS coronavirus Urbani isolate icSARS, complete genome.                    | MK062179.1  
SARS coronavirus Urbani isolate icSARS-MA, complete genome.                 | MK062180.1  
SARS coronavirus Urbani isolate icSARS-C3, complete genome.                 | MK062181.1  
SARS coronavirus Urbani isolate icSARS-C3-MA, complete genome.              | MK062182.1  
SARS coronavirus Urbani isolate icSARS-C7, complete genome.                 | MK062183.1  
SARS coronavirus Urbani isolate icSARS-C7-MA, complete genome.              | MK062184.1  
Bat coronavirus RaTG13, complete genome.                                    | MN996532.1  
SARS coronavirus BJ01, complete genome.                                     | AY278488.2  
SARS coronavirus GD01, complete genome.                                     | AY278489.2  
SARS coronavirus CUHK-W1, complete genome.                                  | AY278554.2  
SARS coronavirus BJ04, complete genome.                                     | AY279354.2  
SARS coronavirus CUHK-Su10, complete genome.                                | AY282752.2  
SARS coronavirus HSR 1, complete genome.                                    | AY323977.2  
Bat SARS coronavirus HKU3-1, complete genome.                               | DQ022305.2  
